Id;v2a1;hacdor;rooms;hacapo;v14a;refrig;v18q;v18q1;r4h1;r4h2;r4h3;r4m1;r4m2;r4m3;r4t1;r4t2;r4t3;tamhog;tamviv;escolari;hhsize;paredblolad;paredzocalo;paredpreb;pareddes;paredmad;paredzinc;paredfibras;paredother;pisomoscer;pisocemento;pisoother;pisonatur;pisonotiene;pisomadera;techozinc;techoentrepiso;techocane;techootro;cielorazo;abastaguadentro;abastaguafuera;abastaguano;public;planpri;noelec;coopele;dis;estadocivil1;estadocivil2;estadocivil3;estadocivil4;estadocivil5;estadocivil6;estadocivil7;idhogar;hogar_nin;hogar_adul;hogar_mayor;hogar_total;dependency;edjefe;edjefa;meaneduc;bedrooms;overcrowding;computer;television;mobilephone;qmobilephone;lugar1;lugar2;lugar3;lugar4;lugar5;lugar6;age;SQBescolari;SQBage;SQBhogar_total;SQBedjefe;SQBhogar_nin;SQBovercrowding;SQBdependency;SQBmeaned;agesq;Target;sanitario;sanioth;energcocinar;elimbasu;elimoth;epared;etecho;eviv;gender;parentesco;instlevel;tipovivi;tipooth;area
ID_db44f5c59;130000.0;1;2;0;1;1;0;0;0;1;1;2;1;3;2;2;4;4;4;3;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;d6dae86b7;2;2;0;4;yes;9;no;10.0;1;4.0;0;0;1;1;1;0;0;0;0;0;11;9;121;16;81;4;16.0;1.0;100.0;121;4;2;0;2;4;0;1;1;2;0;3;2;3;0;1
ID_de822510c;100000.0;0;3;0;1;1;0;0;0;0;0;0;2;2;0;2;2;2;2;12;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;bb2094100;1;1;0;2;yes;no;11;23.0;2;1.0;0;0;1;1;1;0;0;0;0;0;18;144;324;4;0;1;1.0;1.0;529.0;324;4;2;0;4;4;0;3;3;3;0;3;7;2;0;1
ID_d94071d7c;100000.0;0;3;0;1;1;0;0;0;0;0;0;2;2;0;2;2;2;2;11;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;bb2094100;1;1;0;2;yes;no;11;23.0;2;1.0;0;0;1;1;1;0;0;0;0;0;34;121;1156;4;0;1;1.0;1.0;529.0;1156;4;2;0;4;4;0;3;3;3;0;1;5;2;0;1
ID_064b57869;165231.6;0;4;0;1;1;1;1;0;1;1;0;1;1;0;2;2;2;2;4;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;c51f9c774;0;2;1;2;yes;no;4;9.5;2;1.0;0;0;1;1;1;0;0;0;0;0;79;16;6241;4;0;0;1.0;1.0;90.25;6241;4;2;0;4;4;0;3;3;2;0;1;2;1;0;1
ID_5c837d8a4;165231.6;0;4;0;1;1;1;1;0;1;1;0;1;1;0;2;2;2;2;15;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;c51f9c774;0;2;1;2;yes;no;4;9.5;2;1.0;0;0;1;1;1;0;0;0;0;0;39;225;1521;4;0;0;1.0;1.0;90.25;1521;4;2;0;4;4;0;3;3;2;1;3;8;1;0;1
ID_0a39e419e;90000.0;1;2;0;1;1;0;0;0;2;2;0;2;2;0;4;4;4;4;11;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;6893e65ca;2;2;1;4;3;no;10;17.0;1;4.0;0;0;1;1;1;0;0;0;0;0;19;121;361;16;0;4;16.0;9.0;289.0;361;4;2;0;4;4;0;1;1;1;1;3;5;3;0;1
ID_4ff51f90c;90000.0;1;2;0;1;1;0;0;0;2;2;0;2;2;0;4;4;4;4;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;6893e65ca;2;2;1;4;3;no;10;17.0;1;4.0;0;0;1;1;1;0;0;0;0;0;70;4;4900;16;0;4;16.0;9.0;289.0;4900;4;2;0;4;4;0;1;1;1;1;2;2;3;0;1
ID_336c51386;90000.0;1;2;0;1;1;0;0;0;2;2;0;2;2;0;4;4;4;4;11;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;6893e65ca;2;2;1;4;3;no;10;17.0;1;4.0;0;0;1;1;1;0;0;0;0;0;19;121;361;16;0;4;16.0;9.0;289.0;361;4;2;0;4;4;0;1;1;1;0;12;5;3;0;1
ID_c51938edf;90000.0;1;2;0;1;1;0;0;0;2;2;0;2;2;0;4;4;4;4;10;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;6893e65ca;2;2;1;4;3;no;10;17.0;1;4.0;0;0;1;1;1;0;0;0;0;0;50;100;2500;16;0;4;16.0;9.0;289.0;2500;4;2;0;4;4;0;1;1;1;0;1;4;3;0;1
ID_35b66f7c6;215000.0;0;4;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;12;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;d29058053;0;2;0;2;no;15;no;13.5;2;1.0;0;0;1;2;1;0;0;0;0;0;22;144;484;4;225;0;1.0;0.0;182.25;484;4;2;0;2;4;0;3;3;3;0;2;7;3;0;1
ID_74a2bc523;215000.0;0;4;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;15;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;d29058053;0;2;0;2;no;15;no;13.5;2;1.0;0;0;1;2;1;0;0;0;0;0;26;225;676;4;225;0;1.0;0.0;182.25;676;4;2;0;2;4;0;3;3;3;1;1;8;3;0;1
ID_15d393ce7;150000.0;0;3;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;ec0e8edce;0;2;2;2;8;4;no;10.0;1;2.0;0;0;1;1;1;0;0;0;0;0;69;16;4761;4;16;0;4.0;64.0;100.0;4761;4;2;0;4;4;0;1;1;1;1;1;2;3;0;1
ID_a0bff0ba7;150000.0;0;3;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;16;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;ec0e8edce;0;2;2;2;8;4;no;10.0;1;2.0;0;0;1;1;1;0;0;0;0;0;66;256;4356;4;16;0;4.0;64.0;100.0;4356;4;2;0;4;4;0;1;1;1;0;2;8;3;0;1
ID_848b0fdf1;100000.0;1;1;1;0;1;0;0;0;2;2;0;1;1;0;3;3;3;3;6;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;3e16fab89;0;3;0;3;no;6;no;10.333333;1;3.0;0;0;1;3;1;0;0;0;0;0;41;36;1681;9;36;0;9.0;0.0;106.77776999999999;1681;4;1;0;4;4;0;3;3;3;1;1;3;3;0;1
ID_298d857e5;100000.0;1;1;1;0;1;0;0;0;2;2;0;1;1;0;3;3;3;3;13;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;3e16fab89;0;3;0;3;no;6;no;10.333333;1;3.0;0;0;1;3;1;0;0;0;0;0;20;169;400;9;36;0;9.0;0.0;106.77776999999999;400;4;1;0;4;4;0;3;3;3;1;3;8;3;0;1
ID_1d5bf8ddf;100000.0;1;1;1;0;1;0;0;0;2;2;0;1;1;0;3;3;3;3;12;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;3e16fab89;0;3;0;3;no;6;no;10.333333;1;3.0;0;0;1;3;1;0;0;0;0;0;40;144;1600;9;36;0;9.0;0.0;106.77776999999999;1600;4;1;0;4;4;0;3;3;3;0;2;7;3;0;1
ID_e5cdba865;165231.6;0;5;0;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;15;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1e84a2ac8;0;1;0;1;no;15;no;15.0;2;0.5;0;0;1;2;1;0;0;0;0;0;44;225;1936;1;225;0;0.25;0.0;225.0;1936;4;2;0;4;4;0;2;2;2;1;1;8;1;0;1
ID_e18530139;120000.0;0;4;0;1;1;1;1;0;2;2;0;1;1;0;3;3;3;3;6;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;759df0194;0;3;1;3;.5;6;no;6.666666499999999;2;1.5;0;1;1;3;1;0;0;0;0;0;69;36;4761;9;36;0;2.25;0.25;44.444443;4761;4;2;0;2;4;0;3;3;3;1;1;3;3;0;1
ID_cba035c44;120000.0;0;4;0;1;1;1;1;0;2;2;0;1;1;0;3;3;3;3;6;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;759df0194;0;3;1;3;.5;6;no;6.666666499999999;2;1.5;0;1;1;3;1;0;0;0;0;0;62;36;3844;9;36;0;2.25;0.25;44.444443;3844;4;2;0;2;4;0;3;3;3;0;2;3;3;0;1
ID_b6c1c7e65;120000.0;0;4;0;1;1;1;1;0;2;2;0;1;1;0;3;3;3;3;8;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;759df0194;0;3;1;3;.5;6;no;6.666666499999999;2;1.5;0;1;1;3;1;0;0;0;0;0;33;64;1089;9;36;0;2.25;0.25;44.444443;1089;4;2;0;2;4;0;3;3;3;1;3;4;3;0;1
ID_96b1fbc81;100000.0;0;5;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;8;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;f2fcf00fd;0;2;0;2;no;8;no;9.5;2;1.0;0;0;1;2;1;0;0;0;0;0;35;64;1225;4;64;0;1.0;0.0;90.25;1225;4;2;0;4;4;0;2;2;3;1;1;4;3;0;1
ID_422226730;100000.0;0;5;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;11;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;f2fcf00fd;0;2;0;2;no;8;no;9.5;2;1.0;0;0;1;2;1;0;0;0;0;0;28;121;784;4;64;0;1.0;0.0;90.25;784;4;2;0;4;4;0;2;2;3;0;2;5;3;0;1
ID_e24d9c3c9;165231.6;0;5;0;1;1;0;0;0;4;4;0;1;1;0;5;5;5;5;1;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;cb6bb28dd;1;4;0;5;.25;11;no;5.25;3;1.6666666;0;0;1;3;1;0;0;0;0;0;28;1;784;25;121;1;2.7777777;0.0625;27.5625;784;4;2;0;4;4;0;2;2;3;1;4;2;1;0;1
ID_be1c0c929;165231.6;0;5;0;1;1;0;0;0;4;4;0;1;1;0;5;5;5;5;11;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;cb6bb28dd;1;4;0;5;.25;11;no;5.25;3;1.6666666;0;0;1;3;1;0;0;0;0;0;56;121;3136;25;121;1;2.7777777;0.0625;27.5625;3136;4;2;0;4;4;0;2;2;3;1;1;5;1;0;1
ID_18ffaadc6;165231.6;0;5;0;1;1;0;0;0;4;4;0;1;1;0;5;5;5;5;6;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;cb6bb28dd;1;4;0;5;.25;11;no;5.25;3;1.6666666;0;0;1;3;1;0;0;0;0;0;30;36;900;25;121;1;2.7777777;0.0625;27.5625;900;4;2;0;4;4;0;2;2;3;1;4;3;1;0;1
ID_beb36ce09;165231.6;0;5;0;1;1;0;0;0;4;4;0;1;1;0;5;5;5;5;0;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;cb6bb28dd;1;4;0;5;.25;11;no;5.25;3;1.6666666;0;0;1;3;1;0;0;0;0;0;19;0;361;25;121;1;2.7777777;0.0625;27.5625;361;4;2;0;4;4;0;2;2;3;1;3;1;1;0;1
ID_57b05a403;165231.6;0;5;0;1;1;0;0;0;4;4;0;1;1;0;5;5;5;5;3;5;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;cb6bb28dd;1;4;0;5;.25;11;no;5.25;3;1.6666666;0;0;1;3;1;0;0;0;0;0;52;9;2704;25;121;1;2.7777777;0.0625;27.5625;2704;4;2;0;4;4;0;2;2;3;0;2;2;1;0;1
ID_01f1e94b3;80000.0;0;4;0;1;1;0;0;0;2;2;0;1;1;0;3;3;3;3;6;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;cbf24a06c;1;2;0;3;.5;8;no;7.0;2;1.5;0;0;1;2;1;0;0;0;0;0;36;36;1296;9;64;1;2.25;0.25;49.0;1296;4;3;0;2;4;0;1;2;1;0;2;3;3;0;1
ID_0f01e18e9;80000.0;0;4;0;1;1;0;0;0;2;2;0;1;1;0;3;3;3;3;8;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;cbf24a06c;1;2;0;3;.5;8;no;7.0;2;1.5;0;0;1;2;1;0;0;0;0;0;15;64;225;9;64;1;2.25;0.25;49.0;225;4;3;0;2;4;0;1;2;1;1;3;4;3;0;1
ID_e73a7a162;80000.0;0;4;0;1;1;0;0;0;2;2;0;1;1;0;3;3;3;3;8;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;cbf24a06c;1;2;0;3;.5;8;no;7.0;2;1.5;0;0;1;2;1;0;0;0;0;0;37;64;1369;9;64;1;2.25;0.25;49.0;1369;4;3;0;2;4;0;1;2;1;1;1;4;3;0;1
ID_488b8ac27;90000.0;0;5;0;1;1;1;1;0;1;1;0;1;1;0;2;2;2;2;9;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;922a1f87a;0;2;0;2;no;no;9;11.0;2;1.0;0;0;1;2;1;0;0;0;0;0;44;81;1936;4;0;0;1.0;0.0;121.0;1936;4;2;0;2;4;0;2;3;3;0;1;4;3;0;1
ID_1f68e9b45;90000.0;0;5;0;1;1;1;1;0;1;1;0;1;1;0;2;2;2;2;13;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;922a1f87a;0;2;0;2;no;no;9;11.0;2;1.0;0;0;1;2;1;0;0;0;0;0;24;169;576;4;0;0;1.0;0.0;121.0;576;4;2;0;2;4;0;2;3;3;1;3;8;3;0;1
ID_e3869ade2;165231.6;0;8;0;1;1;1;1;0;2;2;0;1;1;0;3;3;3;3;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;a57a1f2f4;1;2;1;3;2;no;15;15.5;3;1.0;1;0;1;3;1;0;0;0;0;0;15;64;225;9;0;1;1.0;4.0;240.25;225;4;2;0;2;4;0;3;3;3;1;6;4;1;0;1
ID_451a7e35a;165231.6;0;8;0;1;1;1;1;0;2;2;0;1;1;0;3;3;3;3;15;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;a57a1f2f4;1;2;1;3;2;no;15;15.5;3;1.0;1;0;1;3;1;0;0;0;0;0;76;225;5776;9;0;1;1.0;4.0;240.25;5776;4;2;0;2;4;0;3;3;3;0;1;8;1;0;1
ID_cf3c3d7ec;165231.6;0;8;0;1;1;1;1;0;2;2;0;1;1;0;3;3;3;3;16;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;a57a1f2f4;1;2;1;3;2;no;15;15.5;3;1.0;1;0;1;3;1;0;0;0;0;0;44;256;1936;9;0;1;1.0;4.0;240.25;1936;4;2;0;2;4;0;3;3;3;1;3;8;1;0;1
ID_feda408ee;165231.6;0;4;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;17;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;9b084b23d;0;2;2;2;8;17;no;10.0;2;1.0;0;0;1;1;1;0;0;0;0;0;69;289;4761;4;289;0;1.0;64.0;100.0;4761;4;2;0;4;4;0;2;2;2;1;1;8;1;0;1
ID_4dd2eaeba;165231.6;0;4;0;1;1;0;0;0;1;1;0;1;1;0;2;2;2;2;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;9b084b23d;0;2;2;2;8;17;no;10.0;2;1.0;0;0;1;1;1;0;0;0;0;0;94;9;8836;4;289;0;1.0;64.0;100.0;8836;4;2;0;4;4;0;2;2;2;0;7;2;1;0;1
ID_34d68201f;165231.6;0;5;0;1;1;1;1;0;1;1;1;1;2;1;2;3;3;3;16;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;6ddd55b3e;1;2;0;3;.5;11;no;13.5;2;1.5;0;0;1;2;1;0;0;0;0;0;45;256;2025;9;121;1;2.25;0.25;182.25;2025;4;2;0;4;4;0;2;2;3;0;2;8;1;0;1
ID_839160e1d;165231.6;0;5;0;1;1;1;1;0;1;1;1;1;2;1;2;3;3;3;2;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6ddd55b3e;1;2;0;3;.5;11;no;13.5;2;1.5;0;0;1;2;1;0;0;0;0;0;8;4;64;9;121;1;2.25;0.25;182.25;64;4;2;0;4;4;0;2;2;3;0;3;2;1;0;1
ID_340865cda;165231.6;0;5;0;1;1;1;1;0;1;1;1;1;2;1;2;3;3;3;11;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;6ddd55b3e;1;2;0;3;.5;11;no;13.5;2;1.5;0;0;1;2;1;0;0;0;0;0;48;121;2304;9;121;1;2.25;0.25;182.25;2304;4;2;0;4;4;0;2;2;3;1;1;5;1;0;1
ID_eb1d477b3;120000.0;0;5;0;1;1;0;0;0;1;1;1;2;3;1;3;4;4;4;2;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;652a7ffa0;2;2;0;4;yes;11;no;11.0;2;2.0;0;0;1;2;1;0;0;0;0;0;8;4;64;16;121;4;4.0;1.0;121.0;64;2;2;0;2;4;0;2;3;2;0;3;2;3;0;1
ID_1edc6734e;120000.0;0;5;0;1;1;0;0;0;1;1;1;2;3;1;3;4;4;4;11;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;652a7ffa0;2;2;0;4;yes;11;no;11.0;2;2.0;0;0;1;2;1;0;0;0;0;0;44;121;1936;16;121;4;4.0;1.0;121.0;1936;2;2;0;2;4;0;2;3;2;0;2;5;3;0;1
ID_68cdfd374;120000.0;0;5;0;1;1;0;0;0;1;1;1;2;3;1;3;4;4;4;8;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;652a7ffa0;2;2;0;4;yes;11;no;11.0;2;2.0;0;0;1;2;1;0;0;0;0;0;14;64;196;16;121;4;4.0;1.0;121.0;196;2;2;0;2;4;0;2;3;2;0;3;4;3;0;1
ID_be0fdb30f;120000.0;0;5;0;1;1;0;0;0;1;1;1;2;3;1;3;4;4;4;11;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;652a7ffa0;2;2;0;4;yes;11;no;11.0;2;2.0;0;0;1;2;1;0;0;0;0;0;42;121;1764;16;121;4;4.0;1.0;121.0;1764;2;2;0;2;4;0;2;3;2;1;1;5;3;0;1
ID_88d6dc9be;168000.0;0;5;0;1;1;0;0;1;1;2;0;2;2;1;3;4;4;4;6;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;b9d64d752;2;2;0;4;yes;no;7;9.0;3;1.3333334;0;0;1;2;1;0;0;0;0;0;13;36;169;16;0;4;1.7777778999999998;1.0;81.0;169;4;2;0;4;4;0;3;3;3;1;3;3;3;0;1
